Sample_ID	dry.weight.cob	dry.weight.plant	dry.weight.shoot	fresh.weight.cob	fresh.weight.shoot	stem.length	total.leaf.number
RT_240H	0	1.4	1.4	0	10.2	8	7
RT_25H	0	2.1	2.1	0	15.5	12	11
RT_26H	0	2.4	2.4	0	16	13	11
RT_27H	0	1.6	1.6	0	8.4	8.5	9
RT_28H	0	2.3	2.3	0	16.2	11.5	10
RT_29H	0	1.6	1.6	0	11.8	10	10
RT_2H	0	10.2	10.2	0	70.3	20	12
RT_30H	0	1.7	1.7	0	12.3	11	11
RT_32H	0	53	53	0	278.1	41	13
RT_33H	0	59.8	59.8	0	242.6	40	13
RT_34H	0	58.3	58.3	0	346.4	48	14
RT_35H	0	23.2	23.2	0	179	39	13
RT_36H	0	31	31	0	204.9	38	13
RT_37H	0	41.8	41.8	0	203.4	52	11
RT_38H	0	28.8	28.8	0	176.7	53.5	11
RT_39H	0	34.8	34.8	0	218.7	53.5	10
RT_3H	0	10.8	10.8	0	85	23	12
RT_40H	0	8.5	8.5	0	80.8	50	9
RT_41H	0	36.4	36.4	0	217.2	48	15
RT_44H	0	59.3	59.3	0	292.2	51	13
RT_45H	0	36.2	36.2	0	242	19	9
RT_46H	0	76.4	76.4	0	379.5	57	14
RT_47H	0	50.9	50.9	0	312.9	64	13
RT_49H	0	21.6	21.6	0	155.8	43	12
RT_4H	0	32	32	0	158.3	30	13
RT_52H	0	21.5	21.5	0	156.9	51	13
RT_55H	0	7.1	7.1	0	59.9	17	13
RT_56H	0	3.9	3.9	0	25.8	15	10
RT_57H	0	2.4	2.4	0	21.1	16	10
RT_58H	0	22.9	22.9	0	173	24	11
RT_59H	0	9.5	9.5	0	75.6	23	10
RT_5H	0	17.4	17.4	0	114.1	26	13
RT_60H	0	5.4	5.4	0	38.7	22	8
RT_61H	0	121.6	121.6	0	236.2	33	13
RT_62H	0	39.2	39.2	0	171.8	31	12
RT_63H	0	28	28	0	149.6	30	12
RT_64H	0	12.2	12.2	0	84.9	22	12
RT_65H	0	11.4	11.4	0	66.2	19	9
RT_66H	0	34.2	34.2	0	141.7	25	12
RT_67H	0	56.2	56.2	0	160.5	40	10
RT_68H	0	85.9	85.9	0	234.5	51	12
RT_69H	0	61.4	61.4	0	208	44.5	12
RT_6H	0	21.5	21.5	0	121.9	28.5	14
RT_70H	0	78.4	78.4	0	242.4	47.5	12
RT_71H	0	52.3	52.3	0	220.8	48	11
RT_72H	0	22.2	22.2	0	109.3	38	11
RT_73H	0	68.4	68.4	0	195.1	38	13
RT_74H	0	72.3	72.3	0	225.4	40	15
RT_75H	0	36.4	36.4	0	157	39	14
RT_76H	0	45.7	45.7	0	199.6	39	14
RT_77H	0	48	48	0	190	33	12
RT_78H	0	89.5	89.5	0	244.6	40	14
RT_79H	0	29.8	29.8	0	102	38	11
RT_7H	0	9.5	9.5	0	88.3	31	10
RT_80H	0	18.3	18.3	0	91.1	30	12
RT_81H	0	19.4	19.4	0	119.1	32	13
RT_82H	0	13.7	13.7	0	57.3	23.5	12
RT_83H	0	14.9	14.9	0	78.7	23	10
RT_84H	0	22.7	22.7	0	124	37	12
RT_85H	0	1.9	1.9	0	12.1	5.5	8
RT_86H	0	1.8	1.8	0	9.9	10	12
RT_87H	0	3.1	3.1	0	18.6	9.5	9
RT_88H	0	1.6	1.6	0	10.1	9	9
RT_89H	0	1.3	1.3	0	7.9	9	9
RT_8H	0	24.3	24.3	0	127.5	36	10
RT_90H	0	1.7	1.7	0	9.7	7.5	8
RT_91H	0	28.15	28.15	0	155.9	22	13
RT_92H	0	6.02	6.02	0	42.9	15	11
RT_93H	0	18.22	18.22	0	114.8	20	13
RT_94H	0	8.66	8.66	0	64.2	18	10
RT_95H	0	13.82	13.82	0	94.49	21	11
RT_96H	0	5.79	5.79	0	45.5	19	10
RT_97H	0	36.7	36.7	0	189.3	33	10
RT_98H	0	11.97	11.97	0	65.7	24	11
RT_99H	0	42.63	42.63	0	186.7	42	12
