Stage	Management	Genotype_1	Genotype_2	p_value	Fold_change	Meta	Sig	FDR	Sig_FDR
RP	NK	B73	pht1;6	0.574503810234666	1.00404658251	TAG.52.5	FALSE	0.694094399303923	FALSE
RP	NK	B73	pht1;6	0.393939393939394	1.00493699964403	TAG.52.4	FALSE	0.506982872200264	FALSE
RP	NK	B73	pht1;6	0.630355526361864	-1.00547938566712	TAG.52.3	FALSE	0.731868131868132	FALSE
RP	NK	B73	pht1;6	0.172732829130551	-1.01426253632139	TAG.52.2	FALSE	0.273416670709321	FALSE
RP	NK	B73	pht1;6	0.0649350649350649	-1.02735482817804	TAG.52.1	FALSE	0.126603934987168	FALSE
RP	NK	B73	pht1;6	0.00216450216450216	-1.02917130045503	TAG.52.0	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.630355526361864	1.00093089265369	TAG.54.9	FALSE	0.731868131868132	FALSE
RP	NK	B73	pht1;6	0.630355526361864	1.00401793446671	TAG.54.8	FALSE	0.731868131868132	FALSE
RP	NK	B73	pht1;6	0.818181818181818	1.00080258324106	TAG.54.5	FALSE	0.883875248838752	FALSE
RP	NK	B73	pht1;6	0.818181818181818	-1.00327634475054	TAG.54.4	FALSE	0.883875248838752	FALSE
RP	NK	B73	pht1;6	0.0649350649350649	-1.01239378248024	TAG.54.3	FALSE	0.126603934987168	FALSE
RP	NK	B73	pht1;6	0.025974025974026	-1.04837058872846	TAG.56.7	TRUE	0.0686456400742116	FALSE
RP	NK	B73	pht1;6	0.484848484848485	-1.01062526882977	TAG.56.3	FALSE	0.595498554004778	FALSE
RP	NK	B73	pht1;6	0.30952380952381	-1.01432883946731	TAG.56.2	FALSE	0.426135105204873	FALSE
RP	NK	B73	pht1;6	0.748348568843747	-1.00931296642971	TAG.60.5	FALSE	0.829629874073967	FALSE
RP	NK	B73	pht1;6	0.00216450216450216	-1.03787156256785	TAG.54.0	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.00432900432900433	-1.05077909650993	TAG.56.0	TRUE	0.0336237484196456	TRUE
RP	NK	B73	pht1;6	0.0649350649350649	1.04102461059651	PS.38.0	FALSE	0.126603934987168	FALSE
RP	NK	B73	pht1;6	0.0649350649350649	1.02359059814964	PS.40.2	FALSE	0.126603934987168	FALSE
RP	NK	B73	pht1;6	1	1.00347246842043	PS.42.3	FALSE	1	FALSE
